OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
422,RIDGEDALE RD, ,200,200 Blk Ridgedale Rd.,ELMWOOD AVE,ITHACA RD,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,50,NO,Local Road,NONE,CITY ST,826.116160444961,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1931 BKPG 227-176,2,495,340.772167726536
425,ITHACA RD, ,000,<100 Blk Ithaca Rd.,RIDGEDALE RD,MITCHELL ST,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,50,NO,Local Road,NONE,CITY ST,305.845897683165,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1931 BKPG 227-176,2,498,126.582846909127
426,BRANDON PL, ,100,100 Blk Brandon Pl.,MITCHELL ST,END,2,Two-way,Sidewalks adjacent to both sides of the street,22.2,22.2,32,NO,Local Road,NONE,CITY ST,511.654732955973,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1920 BKPG 197-497,2,499,211.466602809288
427,DUNMORE PL, ,100,100 Blk Dunmore Pl.,E STATE ST,BRANDON PL,1,One-way,Sidewalks adjacent to both sides of the street,25,25,35,NO,Local Road,NONE,CITY ST,222.452327165182,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1920 BKPG 197-497,2,501,91.8405362088898
443,FERRIS PL, ,100,100 Blk Ferris Pl.,FERRIS PL TURN,E STATE ST,2,Two-way,Sidewalks adjacent to both sides of the street,21.8,21.8,40,NO,Local Road,NONE,CITY ST,565.685577138182,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1896 BKPG 146-308, 146-306",2,520,234.074378087601
444,S QUARRY ST, ,100,100 Blk S Quarry St.,FERRIS PL,E STATE ST,2,Two-way,Sidewalks adjacent to the east side of the street only,20,20,49.5,NO,Local Road,NONE,CITY ST,415.840829164479,Asphalt,,NO,CITYST,CITY-ALL,NO,1926,2,521,172.108443737555
448,FOREST PARK LA, ,000,<100 Blk Forest Park Lane,CAMPUS RD,END,2,Two-way,Sidewalks adjacent to the east side of the street only,0,0,0,NO,NA,NONE,CU,391.837395691427,,,NO,CU,NONE,NO,,0,,162.042401750224
450,WORTH ST, ,100,100 Blk Worth St.,CORNELL ST,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24,24,50,NO,Local Road,NONE,CITY ST,370.104444235322,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1912, 1949 BKPG 178-530, 325-57",2,531,152.737173924406
485,SCIENCES DR, ,100,100 Blk Sciences Dr.,RESERVOIR AVE,END,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,391.977222407871,,,NO,CU,NONE,NO,,0,,153.914195725144
486,ELMWOOD AVE, ,100,100 Blk Elmwood Ave.,MITCHELL ST,ITHACA RD,2,Two-way,Sidewalks adjacent to both sides of the street,24,24,50,NO,Local Road,NONE,CITY ST,586.872362953316,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,575,242.906763530986
500,ELMWOOD AVE, ,400,400 Blk Elmwood Ave.,DRYDEN RD,OAK AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,25,25,50,NO,Local Road,NONE,CITY ST,333.121589094943,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,2,591,137.891176149433
501,ONEIDA PL, ,100,100 Blk Oneida Pl.,DRYDEN RD,OAK AVE,2,Two-way,Short section of sidewalk adjacent to the west side of the street near Dryden Rd,16,16,50,NO,Local Road,NONE,CITY ST,205.089009163854,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,Unknown,2,592,84.8936427827931
503,ELMWOOD AVE, ,000,<100 Blk Elmwood Ave.,VALLEY RD,MITCHELL ST,2,Two-way,Sidewalks adjacent to both sides of the street and east side partial,25.8,25.8,50,NO,Local Road,NONE,CITY ST,575.686550221469,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1931 BKPG 227-176,2,597,238.278587989404
505,WEST AVE, ,100,100 Blk West Ave.,EDGEMOOR LA,SOUTH AVE,1,Two-way,Sidewalks adjacent to the west side of the street only and partial,18,18,60,NO,NA,NONE,CU,250.024047711834,,,NO,CU,NONE,NO,,0,,103.472236028341
523,CAMPUS RD, ,200,200 Blk Campus Rd.,CENTRAL AVE,,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,481.555316848418,,,FIRE,CU,NONE,NO,,0,,198.940843613014
529,LLENROC CT, ,100,100 Blk Llenroc Ct,CORNELL AVE,310 FEET FROM CORNER,2,Two-way,Sidewalks adjacent to the east side of the street only,14,14,30,NO,Local Road,NONE,CITY ST,440.009148116757,Asphalt,,NO,CITYST,CITY-ALL,NO,1934 BKPG 2235-442,1,635,182.128885429776
531,STATLER HOTEL DRIVEWAY, ,,Statler Driveway,STATLER HOTEL CIRCLE,,0,,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,312.966960707249,,,NO,CU,NONE,NO,,0,,129.391309394043
532,STATLER DR, ,100,100 Blk Statler Dr.,CAMPUS RD,,0,part one way?,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,443.951308756181,,,NO,CU,NONE,NO,,0,,183.780077390061
541,FAIRMOUNT AVE, ,200,200 Blk Fairmount Ave.,BRYANT AVE,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street,24.3,24.3,50,NO,Local Road,NONE,CITY ST,318.88396241806,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,,2,656,131.93370608224
570,OAK AVE, ,400,400 Blk Oak Ave.,DRYDEN RD,ONEIDA PL,1,One-way,Sidewalks adjacent to the north side of the street only and partial,22,22,0,NO,Local Road,NONE,CITY ST,863.812023077671,Asphalt,,NO,CITYST,CITY-ALL,NO,1929 BKPG Various,2,702,356.434114383412
571,OAK AVE, ,100,100-200 Blk Oak Ave.,COLLEGE AVE,ELMWOOD AVE,2,Two-way,Sidewalks adjacent to both sides of the street and north side partial,26,26,0,NO,Local Road,NONE,CITY ST,876.573093616049,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1929 BKPG Various,2,703,361.677780149219
584,CASCADILLA PARK RD, ,200,200 Blk Cascadilla Park Rd.,DEWITT PL,END,2,Two-way,Sidewalks adjacent to the south side of the street only and partial,15,15,0,NO,Local Road,NONE,CITY ST,348.51199944197,Asphalt,,NO,CITYST,CITY-ALL,NO,1913 BKPG 176-594,1,723,143.889558667644
657,N QUARRY ST, ,200,200 Blk N Quarry St.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,24.3,24.3,66,NO,Local Road,NONE,CITY ST,328.034899370189,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,821,135.784351441927
658,DELAWARE AVE, ,200,200 Blk Delaware Ave.,OXFORD PL,BRYANT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,26.3,26.3,50,NO,Local Road,NONE,CITY ST,558.33863977928,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,823,231.107517222194
667,STEWART AVE, ,700,700 Blk Stewart Ave.,UNIVERSITY AVE,WILLIARD WAY,2,Two-way,Sidewalks adjacent to the west side of the street only,36,36,0,NO,Collector,NONE,CITY ST,462.55960210071,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1888 BKPG 132-383,1,838,191.400003323467
690,E SENECA ST, ,700,700 Blk E Seneca St.,N QUARRY ST,STEWART AVE,1,One-way,Sidewalks adjacent to both sides of the street,30,30,66,NO,Local Road,NONE,CITY ST,312.964716062448,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131 - 117,2,870,129.072910550732
709,EDDY ST, ,400,400 Blk Eddy St.,DRYDEN RD,WILLIAMS ST,2,Two-way,Sidewalks adjacent to both sides of the street,40,40,66,NO,Local Road,NONE,CITY ST,72.3358895301327,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,890,29.9427236260611
710,EDDY ST, ,400,400 Blk Eddy St.,E BUFFALO ST,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,40,40,66,NO,Minor Arterial,NONE,CITY ST,179.996227922594,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,891,74.507215520413
711,EDDY ST, ,300,300 Blk Eddy St.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,36,36,66,NO,Collector,NONE,CITY ST,334.892990005769,Asphalt,,FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,892,138.623243062571
712,MITCHELL ST,NYS STATE ROUTE 366,100,100 Blk Mitchell St.,E STATE ST,COLLEGE AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,49.5,YES,Minor Arterial, ,CITY ST,336.031649936281,Surface Treated,"Curbed, Granite",FIRE,CITYST,NYSRteCityPaves,YES,"1)1926, 2)1928, 3)1930 BKPG 1)211-181, 2)213-569, 3)220-450",2,893,138.655468307462
713,MITCHELL ST,NYS STATE ROUTE 366,200,200 Blk Mitchell St.,LINDEN AVE,COLLEGE AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,49.5,YES,Minor Arterial, ,CITY ST,300.109409545319,Surface Treated,"Curbed, Granite",FIRE,CITYST,NYSRteCityPaves,YES,"1)1926, 2)1928, 3)1930 BKPG 1)211-181, 2)213-569, 3)220-450",2,894,123.784932166504
